Identifier,title,title_alternative,date,Publish note,Publisher,Place of publication,Abstract,Extent,subject,subject_URI,subject2,subject2_URI,form,form_URI,typeOfResource,language,rights,rights_URI,Call number,Handbook/Schedule
UThandbook_1889-90,"Student handbook, University of Tennesee, 1889","Students' hand-book, presented by the Young Men's Christian Association of the University of Tennessee",1889,"Published by The Association, Knoxville, Tenn. 1889",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,43,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120663,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
UThandbook_1890-91,"Student handbook, University of Tennesee, 1890","Students' hand-book, presented by the Young Men's Christian Association of the University of Tennessee",1890,"Published by The Association, Knoxville, Tenn. 1890",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,53,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120664,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
UThandbook_1891-92,"Student handbook, University of Tennesee, 1891","Students' hand-book, presented by the Young Men's Christian Association of the University of Tennessee",1891,"Published by The Association, Knoxville, Tenn. 1891",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,70,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120665,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
UThandbook_1892-93,"Student handbook, University of Tennesee, 1892","Students' Hand Book, presented by the Young Men's Christian Association of the University of Tennessee",1892,"Published by The Association, Knoxville, Tenn. 1892",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,52,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120666,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
UThandbook_1893-94,"Student handbook, University of Tennesee, 1893","Students' hand-book, presented by the Young Men's Christian Association of the University of Tennessee",1893,"Published by The Association, Knoxville, Tenn. 1893",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,52,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120667,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
UThandbook_1894-95,"Student handbook, University of Tennesee, 1894","Students' hand-book, presented by the Young Men's Christian Association of the University of Tennessee",1894,"Published by The Association, Knoxville, Tenn. 1894",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,91,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120668,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
UThandbook_1895-96,"Student handbook, University of Tennesee, 1895","Students' hand-book No. 7, presented by the Young Men's Christian Association of the University of Tennessee",1895,"Published by The Association, Knoxville, Tenn. 1895",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,83,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120669,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
UThandbook_1896-97,"Student handbook, University of Tennesee, 1896","Students' hand-book No. 8, presented by the Young Men's Christian Association of the University of Tennessee",1896,"Published by The Association, Knoxville, Tenn. 1896",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,74,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120670,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
UThandbook_1897-98,"Student handbook, University of Tennesee, 1897","Students' hand-book No. 9, presented by the Young Men's Christian Association of the University of Tennessee",1897,"Published by The Association, Knoxville, Tenn. 1897",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,83,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120671,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
UThandbook_1899-1900,"Student handbook, University of Tennesee, 1899","Students' hand-book No. 10, presented by the Young Men's Christian Association of the University of Tennessee",1899,"Published by The Association, Knoxville, Tenn. 1899",American Y.M.C.A.,,Students' handbook to help acquaint students with the customs and traditions of the university.,66,College students,http://id.loc.gov/authorities/subjects/sh85028356,"College student orientation--Handbooks, manuals, etc.",http://id.loc.gov/authorities/subjects/sh2009120672,handbooks,http://vocab.getty.edu/aat/300311807,text,English,No Copyright – United States,http://rightsstatements.org/vocab/NoC-US/1.0/,LD5298.3 .S8,#REF!
